36,"Ūdenskritu gleznošanas komplekts","Profesionālas klases komplekts ar 36 spilgtiem krāsām","2026-03-11 14:30:00","2026-03-15 11:20:00",54.99,11,"flat_rate",6.50,"new","art",
37,"USB-C uzlādes kabeļu komplekts","3 izturīgu USB-C kabeļu 6 pēdu garuma komplekts","2026-03-13 08:20:00","2026-03-15 13:45:00",15.99,52,"flat_rate",3.00,"new","electronics",
38,"Dabīgs koka griešanas dēlis","Liels masīvs koks griešanas un pasniegšanas dēlis","2026-03-08 11:05:00","2026-03-12 14:10:00",35.50,13,"flat_rate",6.00,"new","kitchen",
39,"Skaistas sejas lapas maskas","Kastes ar 10 mitrināšanas sejas lapas maskām","2026-03-12 15:10:00","2026-03-14 11:35:00",22.99,26,"flat_rate",4.50,"new","beauty",
40,"Bluetooth pārnēsājamais skaļrunis","Ūdensizturīgs skaļrunis ar 12 stundu bateriju","2026-03-09 12:45:00","2026-03-13 16:20:00",49.99,16,"calculated",6.00,"new","electronics",
41,"Vilnas ziemas cepure","Mīksts merīno vilnas cepure dažādās krāsās","2026-03-10 16:25:00","2026-03-14 12:40:00",28.99,19,"flat_rate",4.50,"new","clothing",
42,"Moderns galda organizators","Daudzdalīju koka galda organizators","2026-03-11 10:30:00","2026-03-15 10:15:00",32.50,14,"flat_rate",5.50,"new","home",
43,"Bambusa zobu birsti komplekts","Ekoloģisks 5 biodegradējamu zobu birstu komplekts","2026-03-13 12:15:00","2026-03-15 08:10:00",12.99,47,"flat_rate",3.00,"new","beauty",
44,"Nerūsējošā tērauda tējas infuzors","Atkārtoti lietojams vaļējo lapu tējas infuzors ar roktuري","2026-03-08 13:50:00","2026-03-12 16:05:00",14.99,31,"flat_rate",3.50,"new","kitchen",
45,"Regulējams klēpjdatora statīvs","Ergonomiski alumīnija klēpjdatora statīvs jebkuram izmēram","2026-03-12 14:20:00","2026-03-15 12:45:00",39.99,10,"calculated",5.50,"new","electronics",
46,"Skaists dāvanu grozs","Kurēts luksusa dāvanu grozs ar gourmet produktiem","2026-03-09 15:40:00","2026-03-13 10:25:00",84.99,4,"calculated",9.00,"new","gifts",
47,"Dabīgas vilnas zeķes","Termisku vilnas zeķes ideālas aukstajam laikam","2026-03-14 09:50:00","2026-03-15 14:15:00",18.99,35,"flat_rate",4.00,"new","clothing",
48,"LED gredzena apgaismojums","10 collas LED gredzena apgaismojums ar statīvu","2026-03-10 12:35:00","2026-03-13 14:50:00",34.99,12,"calculated",6.50,"new","electronics",
49,"Ādas tālruņa vāciņš","Skaists ādas aizsardzības vāciņš ar karšu vietām","2026-03-11 16:10:00","2026-03-14 09:30:00",29.99,18,"flat_rate",5.00,"new","accessories",
50,"Bioloģisks zaļā tēja","Skaista vaļējo lapu zaļā tēja 100g kannas","2026-03-13 10:05:00","2026-03-15 11:50:00",16.99,41,"flat_rate",3.50,"new","food",
